,user,#_messages,#_messages_as_percentage_of_total,mean,time_delta,programming_language
0,Aabha,5,6.643483566413311e-07,0.4166666666666667,300 days 04:44:29.616000,python
1,Aadarsh,542,7.201536185992029e-05,45.166666666666664,14 days 14:34:41.948000,python
2,Aadav,10,1.3286967132826622e-06,0.8333333333333334,0 days 00:38:49.097000,python
3,Aadhavan,7,9.300876992978635e-07,0.5833333333333334,1 days 04:00:36.868000,python
4,Aadhi,5,6.643483566413311e-07,0.4166666666666667,0 days 00:06:04.236000,python
5,Aadhiran,175,2.3252192482446587e-05,14.583333333333334,9 days 20:37:27.747000,python
6,Aadhvik,3,3.9860901398479863e-07,0.25,1 days 14:10:41.822000,python
7,Aadhya,5,6.643483566413311e-07,0.4166666666666667,0 days 00:10:59.688000,python
8,Aadhyan,19,2.5245237552370583e-06,1.5833333333333333,10 days 17:37:26.399000,python
9,Aadhyasri,4,5.314786853130648e-07,0.3333333333333333,1 days 23:38:08.295000,python
10,Aadi,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
11,Aadil,723,9.606477237033648e-05,60.25,47 days 03:52:56.158000,python
12,Aaditya,41,5.447656524458915e-06,3.4166666666666665,24 days 05:37:28.240000,python
13,Aadriti,3,3.9860901398479863e-07,0.25,0 days 00:16:43.501000,python
14,Aadvik,3,3.9860901398479863e-07,0.25,0 days 00:00:58.912000,python
15,Aadya,3,3.9860901398479863e-07,0.25,0 days 00:01:12.560000,python
16,Aadyn,5,6.643483566413311e-07,0.4166666666666667,5 days 13:51:20.137000,python
17,Aafiya,36,4.783308167817583e-06,3.0,15 days 19:22:36.117000,python
18,Aafiyah,8,1.0629573706261297e-06,0.6666666666666666,2 days 21:14:49.485000,python
19,Aagam,40,5.314786853130649e-06,3.3333333333333335,76 days 23:08:26.684000,python
20,Aahan,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
21,Aahid,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
22,Aahil,18,2.3916540839087917e-06,1.5,122 days 00:07:23.129000,python
23,Aahir,175,2.3252192482446587e-05,14.583333333333334,150 days 07:58:42.947000,python
24,Aahlani,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
25,Aahna,31,4.118959811176253e-06,2.5833333333333335,46 days 12:17:25.815000,python
26,Aaiden,3,3.9860901398479863e-07,0.25,0 days 01:36:08.936000,python
27,Aaila,8,1.0629573706261297e-06,0.6666666666666666,6 days 10:31:49.615000,python
28,Aaima,32,4.251829482504519e-06,2.6666666666666665,189 days 23:52:43.307000,python
29,Aaira,8,1.0629573706261297e-06,0.6666666666666666,37 days 15:26:56.207000,python
30,Aairah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
31,Aaisha,17,2.2587844125805255e-06,1.4166666666666667,9 days 06:24:33.037000,python
32,Aaiyana,128,1.7007317930018075e-05,10.666666666666666,22 days 21:44:09.843000,python
33,Aala,3,3.9860901398479863e-07,0.25,0 days 00:04:41.049000,python
34,Aalam,128,1.7007317930018075e-05,10.666666666666666,304 days 19:17:38.595000,python
35,Aalayah,9,1.1958270419543959e-06,0.75,177 days 20:49:20.214000,python
36,Aaleah,10,1.3286967132826622e-06,0.8333333333333334,10 days 23:34:05.468000,python
37,Aaleeyah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:08.041000,python
38,Aaleigha,4,5.314786853130648e-07,0.3333333333333333,10 days 07:10:38.753000,python
39,Aaleyah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:15.575000,python
40,Aali,227,3.016141539151643e-05,18.916666666666668,349 days 14:28:26.877000,python
41,Aaliah,82,1.089531304891783e-05,6.833333333333333,28 days 06:41:01.143000,python
42,Aalijah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
43,Aalim,2,2.657393426565324e-07,0.16666666666666666,97 days 11:35:57.615000,python
44,Aalivia,3,3.9860901398479863e-07,0.25,0 days 00:06:40.696000,python
45,Aaliya,2,2.657393426565324e-07,0.16666666666666666,0 days 00:03:14.924000,python
46,Aaliyah,18,2.3916540839087917e-06,1.5,0 days 00:13:42.755000,python
47,Aaliyan,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
48,Aalya,20,2.6573934265653244e-06,1.6666666666666667,10 days 05:04:38.489000,python
49,Aamara,10,1.3286967132826622e-06,0.8333333333333334,168 days 16:32:30.979000,python
50,Aamer,6,7.972180279695973e-07,0.5,3 days 18:03:36.394000,python
51,Aamil,5,6.643483566413311e-07,0.4166666666666667,117 days 01:13:31.649000,python
52,Aamina,49,6.510613895085045e-06,4.083333333333333,143 days 21:11:25.616000,python
53,Aamir,16,2.1259147412522594e-06,1.3333333333333333,307 days 10:23:38.359000,python
54,Aamira,4,5.314786853130648e-07,0.3333333333333333,0 days 00:26:01.269000,python
55,Aamirah,41,5.447656524458915e-06,3.4166666666666665,13 days 10:37:50.518000,python
56,Aamiyah,18,2.3916540839087917e-06,1.5,1 days 17:03:13.684000,python
57,Aamna,10,1.3286967132826622e-06,0.8333333333333334,25 days 23:09:33.548000,python
58,Aanaya,3,3.9860901398479863e-07,0.25,0 days 00:02:10.761000,python
59,Aania,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
60,Aanika,2,2.657393426565324e-07,0.16666666666666666,2 days 15:54:23.876000,python
61,Aaniya,2,2.657393426565324e-07,0.16666666666666666,0 days 00:06:46.533000,python
62,Aaniyah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:16.321000,python
63,Aansh,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
64,Aanshi,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
65,Aanvi,5,6.643483566413311e-07,0.4166666666666667,50 days 14:18:02.985000,python
66,Aanya,42,5.580526195787181e-06,3.5,21 days 20:57:23.678000,python
67,Aaqib,2,2.657393426565324e-07,0.16666666666666666,110 days 10:26:00.342000,python
68,Aara,10,1.3286967132826622e-06,0.8333333333333334,43 days 20:33:58.517000,python
69,Aarabhi,6,7.972180279695973e-07,0.5,177 days 12:43:55.280000,python
70,Aaradhya,142,1.8867493328613804e-05,11.833333333333334,1 days 18:29:29.101000,python
71,Aaraf,101,1.3419836804154888e-05,8.416666666666666,46 days 04:25:02.834000,python
72,Aaralyn,10,1.3286967132826622e-06,0.8333333333333334,23 days 01:53:09.228000,python
73,Aaralynn,15,1.9930450699239932e-06,1.25,295 days 21:03:48.705000,python
74,Aaran,6,7.972180279695973e-07,0.5,0 days 00:05:37.479000,python
