,user,#_messages,#_messages_as_percentage_of_total,mean,time_delta,programming_language,time_delta_s
1,Aadarsh,542.0,7.201536185992029e-05,45.166666666666664,14 days 14:34:41.948000,python,14.607429953703704
2,Aadav,10.0,1.3286967132826622e-06,0.8333333333333334,0 days 00:38:49.097000,python,0.026957141203703704
3,Aadhavan,7.0,9.300876992978635e-07,0.5833333333333334,1 days 04:00:36.868000,python,1.1670933796296297
4,Aadhi,5.0,6.643483566413311e-07,0.4166666666666667,0 days 00:06:04.236000,python,0.004215694444444445
5,Aadhiran,175.0,2.3252192482446587e-05,14.583333333333334,9 days 20:37:27.747000,python,9.859348923611112
6,Aadhvik,3.0,3.9860901398479863e-07,0.25,1 days 14:10:41.822000,python,1.5907618287037038
7,Aadhya,5.0,6.643483566413311e-07,0.4166666666666667,0 days 00:10:59.688000,python,0.007635277777777778
8,Aadhyan,19.0,2.5245237552370583e-06,1.5833333333333333,10 days 17:37:26.399000,python,10.734333321759259
9,Aadhyasri,4.0,5.314786853130648e-07,0.3333333333333333,1 days 23:38:08.295000,python,1.9848182291666667
11,Aadil,723.0,9.606477237033648e-05,60.25,47 days 03:52:56.158000,python,47.161761087962965
12,Aaditya,41.0,5.447656524458915e-06,3.4166666666666665,24 days 05:37:28.240000,python,24.234354629629628
13,Aadriti,3.0,3.9860901398479863e-07,0.25,0 days 00:16:43.501000,python,0.011614594907407407
14,Aadvik,3.0,3.9860901398479863e-07,0.25,0 days 00:00:58.912000,python,0.0006818518518518519
15,Aadya,3.0,3.9860901398479863e-07,0.25,0 days 00:01:12.560000,python,0.0008398148148148148
16,Aadyn,5.0,6.643483566413311e-07,0.4166666666666667,5 days 13:51:20.137000,python,5.577316400462963
17,Aafiya,36.0,4.783308167817583e-06,3.0,15 days 19:22:36.117000,python,15.807362465277778
18,Aafiyah,8.0,1.0629573706261297e-06,0.6666666666666666,2 days 21:14:49.485000,python,2.8852949652777777
19,Aagam,40.0,5.314786853130649e-06,3.3333333333333335,76 days 23:08:26.684000,python,76.96419773148148
22,Aahil,18.0,2.3916540839087917e-06,1.5,122 days 00:07:23.129000,python,122.00512880787036
23,Aahir,175.0,2.3252192482446587e-05,14.583333333333334,150 days 07:58:42.947000,python,150.33244151620372
25,Aahna,31.0,4.118959811176253e-06,2.5833333333333335,46 days 12:17:25.815000,python,46.51210434027778
26,Aaiden,3.0,3.9860901398479863e-07,0.25,0 days 01:36:08.936000,python,0.06677009259259259
27,Aaila,8.0,1.0629573706261297e-06,0.6666666666666666,6 days 10:31:49.615000,python,6.43876869212963
28,Aaima,32.0,4.251829482504519e-06,2.6666666666666665,189 days 23:52:43.307000,python,189.99494568287037
29,Aaira,8.0,1.0629573706261297e-06,0.6666666666666666,37 days 15:26:56.207000,python,37.643706099537035
31,Aaisha,17.0,2.2587844125805255e-06,1.4166666666666667,9 days 06:24:33.037000,python,9.267049039351852
32,Aaiyana,128.0,1.7007317930018075e-05,10.666666666666666,22 days 21:44:09.843000,python,22.905669479166665
33,Aala,3.0,3.9860901398479863e-07,0.25,0 days 00:04:41.049000,python,0.0032528819444444445
35,Aalayah,9.0,1.1958270419543959e-06,0.75,177 days 20:49:20.214000,python,177.86759506944443
36,Aaleah,10.0,1.3286967132826622e-06,0.8333333333333334,10 days 23:34:05.468000,python,10.982007731481481
37,Aaleeyah,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:08.041000,python,9.306712962962963e-05
38,Aaleigha,4.0,5.314786853130648e-07,0.3333333333333333,10 days 07:10:38.753000,python,10.299059641203703
39,Aaleyah,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:15.575000,python,0.0001802662037037037
41,Aaliah,82.0,1.089531304891783e-05,6.833333333333333,28 days 06:41:01.143000,python,28.27848545138889
43,Aalim,2.0,2.657393426565324e-07,0.16666666666666666,97 days 11:35:57.615000,python,97.48330572916667
44,Aalivia,3.0,3.9860901398479863e-07,0.25,0 days 00:06:40.696000,python,0.004637685185185185
45,Aaliya,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:03:14.924000,python,0.002256064814814815
46,Aaliyah,18.0,2.3916540839087917e-06,1.5,0 days 00:13:42.755000,python,0.009522627314814815
48,Aalya,20.0,2.6573934265653244e-06,1.6666666666666667,10 days 05:04:38.489000,python,10.211556585648148
49,Aamara,10.0,1.3286967132826622e-06,0.8333333333333334,168 days 16:32:30.979000,python,168.68924744212964
50,Aamer,6.0,7.972180279695973e-07,0.5,3 days 18:03:36.394000,python,3.752504560185185
51,Aamil,5.0,6.643483566413311e-07,0.4166666666666667,117 days 01:13:31.649000,python,117.05106075231481
52,Aamina,49.0,6.510613895085045e-06,4.083333333333333,143 days 21:11:25.616000,python,143.88293537037038
